2024-03-19 13:40:35 404 GET /static/sign_up/sign_up.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/signup 0:0:0:0:0:0:0:1 4405 3976
2024-03-19 13:40:35 404 GET /static/sign_up/sign_up.js HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/signup 0:0:0:0:0:0:0:1 4402 3630
2024-03-19 13:40:35 500 GET /favicon.ico HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/signup 0:0:0:0:0:0:0:1 5434 4813
2024-03-19 13:40:35 200 GET /signup HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 - 0:0:0:0:0:0:0:1 3633 3505
2024-03-19 13:40:35 404 GET /static/sign_up/sign_up.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/signup 0:0:0:0:0:0:0:1 4405 4517
2024-03-19 13:40:35 404 GET /static/sign_up/sign_up.js HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/signup 0:0:0:0:0:0:0:1 4402 4715
2024-03-19 13:40:35 500 GET /favicon.ico HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/signup 0:0:0:0:0:0:0:1 5434 2895
2024-03-19 13:41:14 200 GET /signup HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 - 0:0:0:0:0:0:0:1 3639 280568
2024-03-19 13:41:14 404 GET /static/sign_up/sign_up.css HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/signup 0:0:0:0:0:0:0:1 4405 57043
2024-03-19 13:41:14 404 GET /static/sign_up/sign_up.js HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 http://localhost:8087/signup 0:0:0:0:0:0:0:1 4402 56892
2024-03-19 13:41:15 500 GET /singup HTTP/1.1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 - 0:0:0:0:0:0:0:1 5487 17564
